Date,Ad Breaks (Minutes),Ad Time (Seconds) Per Hour,Average Viewers,Chat Messages,Chatters,Clip Views,Clips Created,Follows,Hosts and Raids Viewers (%),Live Views,Max Viewers,Minutes Watched,Minutes Streamed,Unique Viewers,Sub Revenue,Prime Revenue,Gifted Subs Revenue,Bits Revenue,Ad Revenue,Game Sales Revenue,Extensions Revenue,Bounties Revenue,Prime Subs,Total Paid Subs,Tier 1 subs,Total Gifted Subs,Gifted Tier 1 subs
Wed Jan 13 2021,0,0,8.64,372,15,0,2,10,4.9,59,13,1633,190,31,0,0,0,0,0.0315,0,0,0,0,0,0,0,0
Thu Jan 14 2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23,0,0,0,0,0,0,0,0,0
Fri Jan 15 2021,0,0,6.1,366,10,5,3,0,0,30,8,1068,175,15,0,0,0,0,0.0525,0,0,0,0,0,0,0,0
Sat Jan 16 2021,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0.66,0.0034999999999999996,0,0,0,0,0,0,0,0
Sun Jan 17 2021,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Jan 18 2021,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,1,1,0,0
Tue Jan 19 2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Jan 20 2021,0,0,6.17,310,12,0,0,1,0,43,10,1270,205,21,0,0,0,0,0.035,0,0,0,0,0,0,0,0
Thu Jan 21 2021,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0
Fri Jan 22 2021,0,0,5.55,213,8,0,0,0,0,35,8,1094,196,14,0,0,0,0,0.0245,0,0,0,0,0,0,0,0
Sat Jan 23 2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jan 24 2021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Jan 25 2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Jan 26 2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Jan 27 2021,0,0,6.17,280,12,0,0,0,0.17,39,10,1210,196,23,0,0,0,0,0.035,0,0,0,0,0,0,0,0
Thu Jan 28 2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.305,0,0.0034999999999999996,0,0,0,0,0,0,1,1
Fri Jan 29 2021,0,0,6.07,233,10,0,0,1,0,45,10,1135,187,25,0,0,0,0,0.027999999999999997,0,0,0,0,0,0,0,0
Sat Jan 30 2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,1,1,0,0
Sun Jan 31 2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Feb 01 2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Feb 02 2021,0,0,0,9,1,5,1,9,0,0,0,0,0,0,0,0,0,0,0.006999999999999999,0,0,0,0,0,0,0,0
Wed Feb 03 2021,0,0,5.74,212,10,0,0,2,0,24,9,654,114,15,0,0,0,0,0.013999999999999999,0,0,0,0,0,0,0,0
Thu Feb 04 2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Feb 05 2021,0,0,9.65,506,19,5,1,2,4.16,68,23,1997,206,37,0,0,0,0,0.0525,0,0,0,0,0,0,0,0
Sat Feb 06 2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055999999999999994,0,0,0,0,0,0,0,0
Sun Feb 07 2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Feb 08 2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Feb 09 2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006999999999999999,0,0,0,0,0,0,0,0
Wed Feb 10 2021,0,0,6.62,175,7,18,2,2,0,31,9,1204,182,18,0,0,0,0,0.035,0,0,0,0,0,0,0,0
Thu Feb 11 2021,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Feb 12 2021,0,0,6.16,312,13,6,0,1,0,30,10,1128,182,24,0,0,0,0,0.0175,0,0,0,0,0,0,0,0
Sat Feb 13 2021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Feb 14 2021,0,0,3.74,151,5,1,0,1,0.31,15,5,322,86,10,0,0,0,0,0.013999999999999999,0,0,0,0,0,0,0,0
Mon Feb 15 2021,0,0,0,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Feb 16 2021,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Feb 17 2021,0,0,2.68,213,8,0,1,1,0,28,5,530,198,18,0,0,0,0,0.0245,0,0,0,0,0,0,0,0
Thu Feb 18 2021,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,1,1,0,0
Fri Feb 19 2021,0,0,7.11,547,11,1,0,3,0,39,11,1551,218,23,0,0,0,0,0.035,0,0,0,0,0,0,0,0
Sat Feb 20 2021,0,0,0,2,1,0,0,2,0,0,0,0,0,0,2.27,0,4.59,0,0,0,0,0,0,1,1,2,2
Sun Feb 21 2021,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Feb 22 2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0034999999999999996,0,0,0,0,0,0,0,0
Tue Feb 23 2021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Feb 24 2021,0,0,3.83,315,7,0,0,1,0,31,7,765,199,15,0,0,0,0,0.0105,0,0,0,0,0,0,0,0
Thu Feb 25 2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
